"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.01087",0,68.5,1.37140261133902,NA,NA,4.35568128761504,12.2486748836035,-19.606646512757,28.4242458064238,-4.68816076047719,0.0995497565768725,-4.88218730917436,-4.4917706755536
"fitted.Predictor.01088",0,69,1.41215233516136,NA,NA,2.57885067042899,12.809864640332,-22.4826636536692,27.748623892752,-4.69063207248723,0.103272725116577,-4.89194256218233,-4.4869211963809
"fitted.Predictor.01089",0,69.5,1.45290205898371,NA,NA,0.787712699178596,13.3921711015356,-25.4143909643301,27.1009412700711,-4.69300779227798,0.107133938689074,-4.90187348384767,-4.48170607128443
"fitted.Predictor.01090",0,70,1.49365178280606,NA,NA,-1.01773262264289,13.9951225351706,-28.400902193842,26.4794499179968,-4.6952880085283,0.111131034330163,-4.91197536192028,-4.47613003393015
"fitted.Predictor.01091",0.01,20,-2.58132059942849,NA,NA,108.420352485456,23.6078758992981,62.1361127217739,154.720573155561,-4.01693614671783,0.164104168179594,-4.33510402013607,-3.691408003126
"fitted.Predictor.01092",0.01,20.5,-2.54057087560614,NA,NA,108.039047532419,22.8051766759905,63.3289934630658,152.765255527011,-4.02813502441386,0.15919641105783,-4.33675951925014,-3.71230141092634
"fitted.Predictor.01093",0.01,21,-2.4998211517838,NA,NA,107.643753017321,22.0200165116073,64.4735082593001,150.83035237788,-4.03923835538807,0.154407878182391,-4.33855337449172,-3.73286798333363
"fitted.Predictor.01094",0.01,21.5,-2.45907142796145,NA,NA,107.234468939561,21.2525500742923,65.5693536556873,148.916166738039,-4.05024610167899,0.149739479361139,-4.34048751830459,-3.75310582337981
"fitted.Predictor.01095",0.01,22,-2.41832170413911,NA,NA,106.811195298453,20.5029435563838,66.6162035658891,147.023024205031,-4.06115822938974,0.145192148745923,-4.34256392983918,-3.77301298776428
"fitted.Predictor.01096",0.01,22.5,-2.37757198031676,NA,NA,106.373932093214,19.7713754163367,67.6137078124202,145.15127439634,-4.07197471002522,0.140766840862697,-4.34478462362771,-3.79258749682019
